sigma_A_over_omega,K_over_omega,positive_fraction,negative_fraction
4.96969697,0.3636363636,0.1582,0
5.03030303,0.3636363636,0.1574,0
5.090909091,0.3636363636,0.155,0
5.151515152,0.3636363636,0.1542,0
5.212121212,0.3636363636,0.1524,0
5.272727273,0.3636363636,0.1504,0
5.333333333,0.3636363636,0.1492,0
5.393939394,0.3636363636,0.148,0
5.454545455,0.3636363636,0.1466,0
5.515151515,0.3636363636,0.145,0
5.575757576,0.3636363636,0.1436,0
5.636363636,0.3636363636,0.1418,0
5.696969697,0.3636363636,0.141,0
5.757575758,0.3636363636,0.1388,0
5.818181818,0.3636363636,0.1378,0
5.878787879,0.3636363636,0.1372,0
5.939393939,0.3636363636,0.135,0
6,0.3636363636,0.1336,0
0,0.4242424242,1,0
0.06060606061,0.4242424242,1,0
0.1212121212,0.4242424242,1,0
0.1818181818,0.4242424242,1,0
0.2424242424,0.4242424242,1,0
0.303030303,0.4242424242,0.9996,0
0.3636363636,0.4242424242,0.999,0.0004
0.4242424242,0.4242424242,0.9954,0.0028
0.4848484848,0.4242424242,0.9866,0.0048
0.5454545455,0.4242424242,0.9742,0.0172
0.6060606061,0.4242424242,0.9486,0.022
0.6666666667,0.4242424242,0.925,0.0276
0.7272727273,0.4242424242,0.8938,0.0322
0.7878787879,0.4242424242,0.8632,0.0438
0.8484848485,0.4242424242,0.842,0.0492
0.9090909091,0.4242424242,0.7972,0.0504
0.9696969697,0.4242424242,0.7614,0.0514
1.03030303,0.4242424242,0.7248,0.0444
1.090909091,0.4242424242,0.7012,0.0504
